author_id,verified_buyer,reviews,date,upvote,reviewer_name,ratings,start_time,end_time,company_name
review-10481444,Verified Reviewer,"I never received my shoes. DHL said package was signed by front door. I feel like they stole my package. When I went to contact them, it was impossible. I get packages delivered daily and never had this issue with any other company. I do not recommend using DHL.","May 20, 2021",0,"darrell of Baltimore, MD",1.0,2021-05-26 10:49:16.850144,2021-05-26 10:49:20.024587,DHL
review-10475465,Verified Reviewer,"DHL apparently doesn't believe in delivering their packages. My package was sent from England, I paid a lot for my stuff and shipping. It was sent on a Friday and they had it on a truck by Monday for delivery. A week later they still haven't delivered it. In fact I signed online so in the event I wasn't home it could be delivered and one day the driver said attempted delivery, no one present. That was a lie, there is someone here EVERYDAY. THEN, they claim their drivers deliver up to 2130 hours (9:30pm), how is that professional? In my opinion, the driver should be fired and one of the supervisors should deliver my package personally.","May 17, 2021",3,"Brian of Blooming Prairie, MN",1.0,2021-05-26 10:49:20.024587,2021-05-26 10:49:24.193067,DHL
review-10475078,Verified Reviewer,"DHL Express Canada is one of the worst international couriers. The customer service department has employed a bunch of individuals who are rude, impatient and have no knowledge of the service they provide. Do not pay for express with any company who deals with DHL, you will be wasting your money paying for express. DHL is very slow when it comes on to delivery products that have been assigned for express delivery.","May 17, 2021",2,"Felicia of Brampton, ON",1.0,2021-05-26 10:49:24.193067,2021-05-26 10:49:25.330468,DHL
review-10458596,Verified Reviewer,"Like many other reviews I, too, will say that this company has to be the slowest and most unreliable shipper I've ever used (and will not use again). Packages sit with them for days before they are transferred to the USPS for delivery. Why even bother with DHL at all as a shipping partner - go straight to the USPS!","May 9, 2021",3,"Randie of Boca Raton, FL",1.0,2021-05-26 10:49:25.330468,2021-05-26 10:49:29.447000,DHL
review-10347842,Verified Reviewer,"This is my 2nd bad delivery experience with DHL. This time it cost me over $800, they lost my order and their insurance didn't even cover the cost of the shipping of the part, I'll NEVER use them again, this was their 2nd chance, ship with them at your own risk.","May 5, 2021",4,"John of Albuquerque, NM",1.0,2021-05-26 10:49:29.447000,2021-05-26 10:49:32.589648,DHL
review-10347317,Verified Reviewer,"I have been waiting for my order. Always received orders quickly until they used this company. Still waiting and it has been in the same place for 5 days according to the tracking!!!! Cannot believe it, just awful.","May 4, 2021",3,"Diana of Nine Mile Falls, WA",1.0,2021-05-26 10:49:32.589648,2021-05-26 10:49:36.731446,DHL
review-10333301,Verified Reviewer,"Unpaid since February. Kali ** assured me she had received the invoices and they were submitted. They were to be paid by ACH and I sent all the proper paper work, copy of voided check and W-9. Now you are telling me you haven't received the invoices or won't honor them because you received them through QB Intuit via email? I need a phone call from your AP department ASAP so this can be taken care of. Thank you.Why after 3 months are we only now finding this out? A real live person needs to call us with a real live answer, this seems like a canned response and delaying tactic. Do all the people that owe you money get the same “pay us when you feel it” luxury? We are a small business and have provided a service, paid our vendors and employees for what we provided you and now all profit from the job is going away. I am glad that there is a place for people like your AP dept can work and I am sure you don’t wait 3 months for your paycheck.
                    ","April 28, 2021",0,"Gary of Kalama, WA",1.0,2021-05-26 10:49:36.731446,2021-05-26 10:49:36.851478,DHL
review-10201061,Verified Reviewer,"DHL - Post codes confuse us. I’m only rating DHL one star because minus stars aren’t possible. I thought other couriers were bad, but DHL are without a doubt the worst courier I’ve ever had the misfortune of dealing with. I ordered a new phone through my business and the driver said my 75 year old house was “inaccessible” - at least that’s what the tracking info said. I rearranged delivery for today and the driver arrives over an hour earlier than DHL had texted, obviously at the only time I was out today. That’s when the fun and games started. The driver left the package on my neighbour's doorstep, then took it back, even though my neighbour asked him to leave it. He of course denied it, even though I have the footage in glorious 4K high definition.You cannot get through to DHL’s “customer service” until after the delivery time has passed. Now as he was early, by the time they condescended to allow me a (telephone) audience, this was already a good two hours after the driver had refused to leave the package with my neighbour (I might add at this juncture, that this was even after I confirmed that he should leave it with said neighbour).As my order was a company order, it “failed data protection” because it’s in the company’s name and not my own, despite the fact that it is run from my home address and I am a director (the wife is the other). Needless to say after this delightful exchange, my conversations with “customer services” would have made a sailor blush and would require a “15” certificate at least should they decide to listen to said calls for “training and quality purposes”. Training, maybe. Quality? Not from DHL, not by a long shot. On the plus side, as my business expands, I can tell you who definitely will not be couriering my parcels. I wouldn’t trust them to deliver a newspaper, let alone anything of value. If you’ve read this far, go elsewhere for your courier needs: anywhere will do. This is the absolute bottom of the barrel, so it’s only up from here.
                    ","April 21, 2021",8,"Michael of Edgware, Other",1.0,2021-05-26 10:49:36.851478,2021-05-26 10:49:37.987265,DHL
review-10198409,Verified Reviewer,"First they didn't follow instructions nor call, did not buzz or come to my door, instead gave my package away to the first signature available. And now I have to wait 2 hours to have have someone call me back so I can put in a claim for my things. They messed up!!!! But now I have to wait another 3 weeks on top of the 3 weeks I was waiting for the package for this to be resolved and probably another week before I see any justification. I'm not impressed.... Especially since I was suppose to have received the package the day before....","April 20, 2021",4,"Chanel of Toronto, ON",1.0,2021-05-26 10:49:37.987265,2021-05-26 10:49:39.158532,DHL
review-10196843,Verified Reviewer,"Calling them was the worst experience with any shipping companies! I’ve got an insured express package supposedly arriving on a Thursday according the tracking!! But they said the address has no apartment #. So I updated online with the link they provided immediately shortly after I received the notification on the same day. And I called right after to confirm that they have the updated address. And I was told that they’d try to deliver on the same day if they have time if not it would be 8am-12pm on Friday. So then I asked what’s the end of day time they would deliver until? So just in case they had time to deliver on Thursday I will be there to sign it. They said 9pm. So I waited waited till 9pm hoping they’d make it. Well. It never came either on Thursday or Friday morning like they told me it for sure would!!!! Tracking status was also stuck on “exception” still inquiring about the address info!! So I called AGAIN Friday afternoon to ask what’s the scheduled date??? This time I was told for some reason it was not set to delivery yet and he will file a claim and he also confirmed the address info was received on Thursday (so then why was it not set to delivery?). So I asked if they could update the tracking status so I can get an estimated time??? The guy said they will and FOR SURE it will be delivered to me on friday. BUT informed if I don’t receive any tracking updates by 3pm to call again to check. (I really didn’t want to). So at 3pm I had to call AGAIN since nothing came and there was no updates no phone calls NOTHING!!! (Waited 2 days for this package while I could be out doing other important things.) So then, at 3pm I was told since the delivery change was made around noon (last time when I called) the package didn’t make it onto the truck and it was rescheduled to Monday! I was like... ""Ok I thought you said it will be for sure delivered today???"" So Monday came with all these frustrations dealing with lies from these customer service people. I CALLED AGAIN (so I could get some updates on an estimated time hoping I don’t need to stay home for the whole freaking day). They told me between 10am -2pm and now it’s past 4pm. I am sitting here still waiting and decided I should write this review... In conclusion, lessons learned. Never call DHL. They don’t know what they are doing or talking about! Just wasted my time calling 4 times just to get myself even more confused about the situation. I should just sit at home and just wait for it instead. :)
                    ","April 19, 2021",2,"Lucy of Beaverton, OR",1.0,2021-05-26 10:49:39.158532,2021-05-26 10:49:40.286974,DHL
review-10177115,Verified Reviewer,Stating that DHL is awful is a huge understatement. Tried following all online instructions to pay customs duties. Impossible because every way DHL states to pay duties does not work. Trying over the phone you only get a recording basically that they are understaffed and sorry. I will no longer order anything from overseas with a business that only ships DHL. The added stress dealing with DHL is just not worth it.,"April 10, 2021",6,"Tammy of Prairieville, LA",1.0,2021-05-26 10:49:45.347162,2021-05-26 10:49:45.507162,DHL
review-10175888,Verified Reviewer,"Where do I start? In my 50 years of international business experience I have never received such disgusting, condescending, arrogant, unprofessional, rude, valueless, overpriced, ""dis-service"". Nothing but a continuous stream of falsehoods and lies. It is enough to literally make one physically ill. They are unequivocally, in no uncertain terms rotten to the core. Don't use DHL for anything -- domestic or international. Go to Facebook and review the extreme dissatisfaction and annoyance that global customers have experienced. And they have the insane screwiness to fill up their Twitter feed with nauseating mawkish comments like ""Have a nice day! We're here to help!"".... They're toxic. Don't use them -- ever.","April 10, 2021",7,"Ken of Tokyo, Other",1.0,2021-05-26 10:49:45.507162,2021-05-26 10:49:45.635163,DHL
review-10031327,Verified Reviewer,"As a corporate customer I have had great experiences with DHL, but this was simply atrocious. Package shipped from sending on Thu, Mar 25 with 3 day guaranteed delivery. Delivery was so late that I had changed addressed, confirmed with DHL customer support 3 times to ensure delivery to new address, and they still delivered to incorrect address... Package did not arrive until Apr 6th. I had to drive 2 hours to old address to pick up the package. I was proactive to notify them of issues multiple times and was promised multiple times that delivery would be ""tomorrow"" and to the correct address and it never arrived. Collectively this will have wasted me about 10 hours of my time in correspondence, waiting, and driving. Over-promising and under-delivering is an awful customer experience, and your customer support just sent blanket lies of assurance when there were clearly still issues.","April 6, 2021",5,"Seditious of Granite Falls, WA",1.0,2021-05-26 10:49:45.635163,2021-05-26 10:49:48.778533,DHL
review-10023929,Verified Reviewer,"Never Again! This is the first time I’ve used DHL for shipping internationally and definitely my last!!! I was charged $29 duty/taxes for an $87 order, I thought UPS import fees were high but I’d much rather deal with UPS. Cheaper import fees (Air Freight), 24/7 customer service, DHL has 9am-5pm type hours???. Also slow delivery compared to other shipping companies. Word of advice if known how and can self clear your shipment it’s much cheaper. Lots of information online if you search.","April 3, 2021",7,"Cory of Berwick, NS",1.0,2021-05-26 10:49:48.778533,2021-05-26 10:49:50.910922,DHL
review-10000724,Verified Reviewer,"I would have given 0 rating if it allowed me. We were supposed to receive the package and we got an update saying the driver couldn’t get access code, my question here is there were contact numbers on the shipment label, how come the driver didn't call us? When we called the customer service, I don't know what planet they live in. They never try to listen what we are saying, they just tell their scripted notes. How come such a reputed courier service has very minimum to no organisation skills. How come they don't have the delivery driver name or contact number who picked up the package from the DHL service center. You need to at least get their details. Never ever opting for dhl ever again. There are very small courier services doing their best and giving the best service, while these reputed services and taking things for granted.","March 23, 2021",3,"Sravani of Irving, TX",1.0,2021-05-26 10:49:50.910922,2021-05-26 10:49:53.053503,DHL
review-9998393,Verified Reviewer,"Let me be clear: I do a lot of shipping... DHL, UPS and FedEx. And I've had my share of problems with each -- including a recent problem with a DHL shipment to India. But I realize that some of the issues I've had may be more about the receiving NATION than the shipper. That said, I was a successful Fortune 500 Mktg/Comm VP and I learned the extreme importance of individual customer service. That awareness -- including my own high standards -- is what motivates me to write a review based on the customer service attitude of ""Aurora""... The woman behind the desk at my local DHL in New York City (886 Second Avenue.)When I go to the time and expense of bringing in a package for international shipment, it's always because I'm sending something important TO someone important. What impressed me was the way the agent, ""Aurora"", treated me and my needs... AND what I observed as I watched her handling the shipping of other customers ahead of me in line. She is personable and thoughtful. She REMEMBERED me and my preferences from previous visits...even with substantial gaps in between. Believe me, I'm not THAT frequent a customer. It's absolutely not that I'm so memorable; it's that THIS gal pays ATTENTION and obviously CARES about giving EACH customer the support they desire.Simply put -- if I were back in corporate life (God forbid!) -- this agent, Ms. Aurora, is EXACTLY the kind of person I'd want to hire. She's clearly intelligent, attentive, responsive, cordial...and always made me feel that my shipping satisfaction was something that mattered to her -- and that she'd do her best to ensure that DHL did its best. Again, I saw her treating other customers with the exact same care. I wish I could deal with people like her at Federal Express, American Airlines and a host of other large organizations that are important to me and my business needs. So it's because of Ms. Aurora -- with kudos to her boss for hiring her -- THAT'S why I had to take time to offer a 5-star review. She's superlative, plain and simple. As Tina Turner sang when I was much younger: for Ms. Aurora's customer service attitude and performance, she is ""Simply The Best.""
                    ","March 22, 2021",0,"Mike of New York, NY",5.0,2021-05-26 10:49:53.053503,2021-05-26 10:49:57.191541,DHL
