,author_id,title,country,reviews,date,total_reviews_written,upvote,reviewer_name,ratings,start_time,end_time,companyName,scraped_site
0,60b10084f9f4870b70111b36,We've done a good job so far,IT,We've done a good job so far. Great customer service. Silvana provided made for a very easy and efficient onboarding experience.,2021-05-28T14:39:00.000Z,2,0,Gyzue Shop,5.0,2021-05-28 12:46:43.780852,2021-05-28 12:46:47.996149,ShipHero,Trustpilot
1,60b03addf9f4870b70108965,Excellent personnel and always…,US,Excellent personnel and always available when needed. Thanks Shiphero Team!!,2021-05-28T00:35:41.000Z,1,0,Sales Dhe,5.0,2021-05-28 12:46:47.996149,2021-05-28 12:46:52.223991,ShipHero,Trustpilot
2,60aeccb3f9f4870b700f766f,Top notch support from the Shiphero team,US,Always have great support from the Shiphero team. Typically get responses in <10 minutes and always a friendly person on the other side willing to help!,2021-05-26T22:33:23.000Z,1,0,Peter Marler,5.0,2021-05-28 12:46:52.223991,2021-05-28 12:46:54.594488,ShipHero,Trustpilot
3,60ad2824f9f4870a94acc833,Excellent onboarding experience that…,US,Excellent onboarding experience that far exceeded my expectations. The customer service people and the help and information they provided made for a very easy and efficient onboarding experience. Could not be happier.,2021-05-25T16:39:00.000Z,1,0,Traq,5.0,2021-05-28 12:46:54.594488,2021-05-28 12:46:58.892968,ShipHero,Trustpilot
4,60ac42adf9f4870b700d5248,Imagine having your best friend work in shipping,US,"That's sort of how it is with shiphero. They tell you the truth, they'll go the extra mile for you and your customers, they apologize when there's a normal mistake and they don't make a fuss when you make one. If you're comparing Shiphero Vs. other logistics fulfillment players, stop wasting your time. They're that good.",2021-05-25T00:19:57.000Z,1,0,specialty retail website,5.0,2021-05-28 12:46:58.892968,2021-05-28 12:47:01.152922,ShipHero,Trustpilot
5,60ac0a8bf9f4870a94abe946,The team has always been helpful,TR,The team has always been helpful. Mari helped a lot recently and she is so responsive. Thanks again.,2021-05-24T20:20:27.000Z,3,0,Guney,5.0,2021-05-28 12:47:01.152922,2021-05-28 12:47:05.396042,ShipHero,Trustpilot
6,60abe0c7f9f4870a94abbc92,Marina and her team are amazing,IL,"Marina and her team are amazing! The onboarding was made easy, the team was super helpful and they have done everything needed to ensure the setup and transition will be seemless. I have been so pleasntly surprised with the customer service and how advance and interactive the backend is. I can easily manage orders and ensure better customer service. Every request or concern was immediately answered on a live chat, phone or email. As a business owner I am highly impressed with the level of service and reccomends Shiphero to anyone looking to improve their E-commerce and CX.",2021-05-24T17:22:15.000Z,1,0,Hila S.,5.0,2021-05-28 12:47:05.396042,2021-05-28 12:47:09.695665,ShipHero,Trustpilot
7,60a720ccf9f4870a94a8ac15,Excellent,ID,Excellent service!,2021-05-21T02:54:04.000Z,1,0,the napkins US,5.0,2021-05-28 12:47:09.695665,2021-05-28 12:47:10.954364,ShipHero,Trustpilot
8,60a54a51f9f4870b70089306,Belén Giglio was a pleasure to deal…,US,Belén Giglio was a pleasure to deal with. Very knowledgeable and responsive. Thank you.,2021-05-19T17:26:41.000Z,1,0,Michael Jaffa,5.0,2021-05-28 12:47:10.954364,2021-05-28 12:47:13.241792,ShipHero,Trustpilot
9,60a417d6f9f4870a94a64d62,"Fast shipping, intuitive software, Great Service",CA,"Fast shipping, intuitive software, tight integration with Shopify. Great service as well. Happy to have switched from my old 3PL to ShipHero

Processing + Shipping times to my customers are also fantastic.",2021-05-18T19:39:02.000Z,1,0,Zaid Shahatit,5.0,2021-05-28 12:47:13.241792,2021-05-28 12:47:16.531979,ShipHero,Trustpilot
10,609d7080f9f4870b7002c0f1,Everything was very easy and intuitive…,JM,Everything was very easy and intuitive to set up. I appreciate that their team spent much time to simplify the processes. After only a week I've seen a huge improvement in my conversions due to their super fast shipping times. I have recommended them to other small businesspersons in my circle,2021-05-13T18:31:28.000Z,1,0,IsetByNature.com,5.0,2021-05-28 12:47:16.531979,2021-05-28 12:47:17.831796,ShipHero,Trustpilot
11,609c128cf9f4870a94a05994,Highly recommend,US,,2021-05-12T17:38:20.000Z,1,0,customer,5.0,2021-05-28 12:47:17.831796,2021-05-28 12:47:18.018611,ShipHero,Trustpilot
12,609ae786f9f4870a949f60c5,These Guys are Awesome,US,"Best price, best service and fast shipping. No doubt moving all of our e-com to Ship Hero was one of the best moves we ever made.",2021-05-11T20:22:30.000Z,2,0,Household Goods Wholesaler,5.0,2021-05-28 12:47:18.018611,2021-05-28 12:47:22.279092,ShipHero,Trustpilot
13,609982e2f9f487069cf0ac3c,Bel is always very professional and helpful,CA,"Bel is always very polite, professional, knowledgeable and helpful.",2021-05-10T19:00:50.000Z,4,0,Snufflemart,5.0,2021-05-28 12:47:22.279092,2021-05-28 12:47:22.463274,ShipHero,Trustpilot
14,60992f02f9f4870a04f19036,You'll love it,US,"The system they have and the integration with Shopify are phenomenal. What I like about them is a simplicity and a straight to the point support. If you are a busy person in need of 3PL, you are at the right place.",2021-05-10T13:04:16.000Z,2,0,Maoteru,5.0,2021-05-28 12:47:22.463274,2021-05-28 12:47:24.700685,ShipHero,Trustpilot
15,60940be9f9f4870a6ca7c19f,Amazing company with fantastic service,AU,Amazing company with fantastic service. Mario and the team over there rock! It's like night and day compared to my old fulfillment center.,2021-05-06T15:31:53.000Z,3,0,Christian Sculthorp,5.0,2021-05-28 12:47:24.700685,2021-05-28 12:47:27.926680,ShipHero,Trustpilot
16,60934bcdf9f4870a6ca711a5,great customer service,AU,great customer service. Carina always been helpful and fix the problem instantly.,2021-05-06T01:52:13.000Z,1,0,Monica Evasari,5.0,2021-05-28 12:47:27.926680,2021-05-28 12:47:28.225697,ShipHero,Trustpilot
17,609315a3f9f4870a6ca6ffd8,Very responsive and helpful customer…,US,Very responsive and helpful customer service team.,2021-05-05T22:01:07.000Z,1,0,Danielle Salka,5.0,2021-05-28 12:47:28.225697,2021-05-28 12:47:29.465075,ShipHero,Trustpilot
18,60928a39f9f4870a6ca651e7,Excellent team,PE,"Excellent team, all professionals, Carina help me with the issues in my stores in different platforms, she was very patient",2021-05-05T12:06:17.000Z,3,0,Joaquin Lopez,5.0,2021-05-28 12:47:29.465075,2021-05-28 12:47:30.759476,ShipHero,Trustpilot
19,6091b79ef9f4870a786e8179,100% recommend,LT,"Smooth start and onboarding, so far so good fulfillment, great customer service by Danielle - super responsive :) 100% recommend ShipHero as a 3PL",2021-05-04T21:07:42.000Z,1,0,Liudvikas,5.0,2021-05-28 12:47:30.759476,2021-05-28 12:47:33.963376,ShipHero,Trustpilot
20,60918837f9f4870a786e5160,Helpful with numerous queries,GB,"Helpful with numerous queries, thanks!",2021-05-04T17:45:27.000Z,1,0,Georgia Reynolds,5.0,2021-05-28 12:47:38.078419,2021-05-28 12:47:40.434162,ShipHero,Trustpilot
